file,start_time,end_time
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,114.0,115.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,115.2,116.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,116.4,117.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,117.6,118.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,118.8,120.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,120.0,121.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,121.2,122.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,122.4,123.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,123.6,124.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,124.8,126.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,126.0,127.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,127.2,128.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,128.4,129.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,129.6,130.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,130.8,132.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,132.0,133.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,133.2,134.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,134.4,135.6
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,135.6,136.8
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,136.8,138.0
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,138.0,139.2
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,139.2,140.4
/home/maria/Downloads/Audio_Snippets/Downloads_20230801_180000_start3300s_end3600s.WAV,140.4,141.6
